sku,desc,wholesale_cost,dims_cm
"PET0002","Wet Cat Food, Tuna & Tuna",0.89,16.1|5.5|3.2
"PET0006","Vegan Adult Cat Food, Chicken & Chicken",1.41,19.9|16.9|0.3
"PET0019","Dry Senior Cat Food, Tuna & Tuna",0.89,18.6|8.7|7.2
"PET0023","Gluten-free Cat Food, Beef & Beef",1.47,17.4|4.4|4.0
"PET0027","Wet Adult Cat Food, Tuna & Tuna",1.03,14.3|14.3|3.0
"COL0037","Noah's Jewelry (green)",28.32,17.4|11.2|5.7
"COL0041","Noah's Ark Model (HO Scale)",2487.35,7.2|4.3|0.4
"DLI0045","Dilled Egg Sandwich",0.97,19.1|17.3|5.3
"COL0065","Noah's Jewelry (mauve)",33.52,19.0|12.2|10.5
"PET0069","Vegan Cat Food, Salmon & Salmon",1.48,18.9|13.5|9.7
"PET0084","Gluten-free Cat Food, Duck & Duck",1.52,15.3|9.7|1.0
"PET0095","Dry Senior Cat Food, Pumpkin & Pumpkin",0.81,18.2|9.2|4.4
"PET0102","Wet Adult Cat Food, Salmon & Salmon",0.99,15.2|2.3|0.2
"TOY0113","Vintage Toy Soldier",16.42,11.7|5.7|5.7
"TOY0127","Mechanical Dreidel",2.80,18.1|7.2|4.0
"PET0129","Vegan Senior Cat Food, Turkey & Turkey",1.41,19.6|12.8|0.3
"PET0143","Gluten-free Adult Cat Food, Shrimp & Shrimp",1.52,15.8|13.4|7.7
"TOY0144","Electric Hebrew Blocks",3.40,12.8|12.6|6.9
"PET0146","Vegan Cat Food, Turkey & Turkey",1.67,14.3|10.9|10.6
"PET0153","Dry Senior Cat Food, Tuna & Tuna",0.99,11.4|8.1|6.1
"PET0159","Gluten-free Adult Cat Food, Tuna & Tuna",1.43,20.0|6.6|5.8
"COL0166","Noah's Action Figure (blue)",13.98,12.1|7.7|7.2
"COL0167","Noah's Bobblehead (blue)",5.36,8.9|5.6|0.6
"PET0181","Senior Mouse Food",0.56,15.8|11.3|5.9
"PET0189","Gluten-free Adult Cat Food, Tuna & Tuna",1.56,17.8|16.2|7.1
"TOY0192","Mini Hebrew Blocks",2.72,13.7|13.5|4.3
"PET0196","Dry Senior Cat Food, Shrimp & Shrimp",1.12,17.9|5.5|3.4
"PET0220","Vegan Cat Food, Turkey & Turkey",1.45,17.2|11.2|11.1
"TOY0224","Toy Stickers",0.75,19.1|17.1|11.5
"DLI0251","Smoked Salmon Salad",1.02,8.6|7.5|1.5
"TOY0271","Mechanical Hebrew Blocks",2.82,3.7|1.0|0.9
"PET0272","Cat",1.17,14.1|9.5|6.5
"PET0288","Dry Senior Cat Food, Turkey & Turkey",1.03,17.7|9.8|6.8
"PET0293","Vegan Cat Food, Tuna & Tuna",1.50,16.9|13.9|9.5
"TOY0293","Noah's Yoyo",5.10,15.2|14.8|12.9
"PET0299","Dry Cat Food, Salmon & Salmon",0.89,6.9|2.8|1.1
"PET0302","Wet Cat Food, Pumpkin & Pumpkin",0.85,13.6|9.0|2.0
"PET0304","Wet Adult Cat Food, Turkey & Turkey",0.99,19.9|5.1|1.0
"PET0305","Vegan Cat Food, Duck & Duck",1.44,10.2|3.5|2.1
"PET0320","Vegan Cat Food, Duck & Duck",1.49,15.3|7.9|2.1
"PET0327","Gluten-free Senior Cat Food, Pumpkin & Pumpkin",1.58,15.2|8.3|4.4
"PET0334","Dry Adult Cat Food, Shrimp & Shrimp",0.80,17.3|14.2|7.8
"PET0341","Vegan Adult Cat Food, Chicken & Chicken",1.35,19.1|7.6|6.5
"PET0355","Dry Cat Food, Chicken & Chicken",0.99,15.5|9.0|7.7
"PET0357","Vegan Cat Food, Tuna & Tuna",1.53,8.9|7.3|0.5
"PET0361","Gluten-free Cat Food, Tuna & Tuna",1.60,14.7|14.2|5.3
"PET0365","Adult Rabbit Food",1.87,15.4|14.9|2.6
"PET0367","Dry Cat Food, Duck & Duck",0.95,16.0|8.2|3.7
"PET0369","Gluten-free Adult Cat Food, Tuna & Tuna",1.29,16.0|13.6|5.8
"PET0373","Gluten-free Adult Cat Food, Shrimp & Shrimp",1.50,19.6|11.6|7.1
"TOY0378","Noah's Silly Bandz",3.10,17.1|13.4|2.4
"PET0389","Vegan Adult Cat Food, Turkey & Turkey",1.36,19.9|9.9|5.1
"TOY0395","Star Wars Ball",6.15,12.5|8.7|5.8
"PET0400","Dry Adult Cat Food, Chicken & Chicken",0.97,15.5|7.0|5.3
"PET0406","Wet Senior Cat Food, Salmon & Salmon",1.17,10.3|9.5|4.1
"TOY0410","Mega Dreidel",3.33,10.7|10.1|0.6
"PET0411","Dry Adult Cat Food, Shrimp & Shrimp",0.89,9.9|3.8|0.5
"PET0417","Gluten-free Adult Cat Food, Beef & Beef",1.57,7.6|5.3|2.2
"PET0429","Senior Hedgehog Food",0.90,2.9|2.5|0.7
"TOY0444","Super Airplane",9.95,16.2|13.9|11.5
"PET0458","Wet Cat Food, Shrimp & Shrimp",0.86,17.7|7.8|4.9
"TOY0467","Transformers Dreidel",4.36,19.0|16.1|12.8
"PET0473","Wet Senior Cat Food, Turkey & Turkey",0.96,17.1|13.6|10.0
"PET0478","Vegan Senior Cat Food, Tuna & Tuna",1.51,15.3|9.3|7.7
"TOY0481","Automatic Board Game",15.64,10.4|9.6|1.8
"COL0483","Noah's Action Figure (mauve)",13.95,10.3|2.5|0.2
"PET0498","Vegan Adult Cat Food, Salmon & Salmon",1.62,9.8|9.0|2.8
"PET0500","Gluten-free Adult Cat Food, Salmon & Salmon",1.37,12.5|10.9|10.9
"PET0503","Wet Cat Food, Pumpkin & Pumpkin",1.00,19.0|6.9|0.0
"PET0511","Vegan Senior Cat Food, Duck & Duck",1.65,12.5|11.3|0.7
"PET0513","Dry Adult Cat Food, Tuna & Tuna",1.11,19.6|17.3|14.0
"TOY0513","Super Train",12.34,16.4|4.9|3.8
"PET0517","Wet Senior Cat Food, Tuna & Tuna",1.00,18.9|11.8|5.2
"PET0527","Mouse",0.47,13.9|1.1|0.6
"TOY0531","Super Stickers",0.91,17.5|12.4|1.2
"TOY0543","Manual Ball",3.26,14.0|6.6|3.5
"TOY0549","Power Train",13.24,17.6|2.3|1.9
"PET0555","Dry Cat Food, Beef & Beef",1.07,9.2|3.3|2.9
"PET0574","Gluten-free Adult Cat Food, Pumpkin & Pumpkin",1.48,16.6|15.0|3.3
"PET0575","Vegan Senior Cat Food, Tuna & Tuna",1.64,19.7|16.8|11.0
"TOY0581","Toy Blocks",2.98,13.0|11.4|11.1
"PET0582","Vegan Adult Cat Food, Turkey & Turkey",1.13,16.5|11.5|4.5
"TOY0592","Automatic Train",10.70,19.7|18.9|7.5
"PET0595","Gluten-free Senior Cat Food, Salmon & Salmon",1.53,19.5|14.8|4.2
"TOY0598","Marvel Doll",14.47,8.2|0.9|0.8
"PET0606","Gluten-free Adult Cat Food, Turkey & Turkey",1.61,17.2|16.6|8.8
"PET0622","Gluten-free Senior Cat Food, Beef & Beef",1.74,12.5|5.7|3.4
"PET0630","Dry Cat Food, Beef & Beef",0.90,18.9|17.4|7.0
"PET0647","Bird",0.68,18.6|17.6|10.9
"TOY0650","Power Airplane",10.02,18.2|13.2|7.9
"TOY0651","Electric Toy Soldier",11.54,11.8|4.7|3.0
"TOY0686","Super Blocks",3.40,13.3|10.5|5.4
"PET0687","Dry Adult Cat Food, Turkey & Turkey",1.12,16.0|15.8|9.5
"PET0699","Gluten-free Adult Cat Food, Salmon & Salmon",1.48,18.4|6.4|4.6
"PET0704","Dry Adult Cat Food, Tuna & Tuna",1.14,16.6|16.2|7.7
"PET0705","Gluten-free Senior Cat Food, Tuna & Tuna",1.56,14.6|2.5|1.8
"PET0708","Vegan Senior Cat Food, Shrimp & Shrimp",1.46,18.5|13.1|7.3
"PET0724","Gluten-free Senior Cat Food, Shrimp & Shrimp",1.56,15.0|10.3|7.2
"PET0726","Wet Cat Food, Duck & Duck",0.96,17.3|11.1|4.8
"PET0727","Rabbit Food",1.84,17.0|14.9|4.6
"PET0728","Vegan Adult Cat Food, Tuna & Tuna",1.24,15.6|9.8|1.9
"PET0730","Gluten-free Cat Food, Shrimp & Shrimp",1.48,14.6|12.3|6.1
"PET0732","Senior Ferret Food",0.41,16.8|11.6|3.9
"TOY0733","Manual Silly Bandz",3.40,15.4|10.7|0.5
"PET0736","Gluten-free Cat Food, Salmon & Salmon",1.42,12.8|6.2|3.1
"PET0738","Wet Adult Cat Food, Duck & Duck",1.16,17.6|1.1|0.4
"PET0739","Wet Adult Cat Food, Pumpkin & Pumpkin",1.04,9.5|8.4|6.9
"PET0741","Dry Senior Cat Food, Tuna & Tuna",1.15,11.7|6.7|5.0
"TOY0757","Super Ball",2.68,13.3|6.2|1.2
"PET0759","Dry Senior Cat Food, Chicken & Chicken",0.97,19.0|5.7|4.7
"PET0769","Gluten-free Senior Cat Food, Turkey & Turkey",1.50,17.8|15.7|5.5
"PET0783","Vegan Senior Cat Food, Salmon & Salmon",1.35,19.8|18.8|17.9
"TOY0788","Power Ball",3.38,14.2|13.7|6.5
"PET0803","Guinea Pig Food",0.53,19.2|6.0|4.1
"PET0808","Vegan Senior Cat Food, Chicken & Chicken",1.48,20.0|12.4|3.0
"TOY0810","Disney Slinky",7.64,18.7|18.6|13.8
"TOY0814","Marvel Crayons",4.67,11.7|5.2|4.2
"PET0815","Gluten-free Adult Cat Food, Duck & Duck",1.46,17.2|2.5|0.3
"PET0816","Dry Adult Cat Food, Turkey & Turkey",0.85,12.5|9.0|5.8
"DLI0821","Broccoli Seitan Meatball",0.89,18.5|10.6|4.6
"PET0822","Gluten-free Adult Cat Food, Chicken & Chicken",1.33,16.6|15.3|10.5
"COL0837","Noah's Poster (mauve)",3.86,13.0|3.3|0.8
"PET0846","Vegan Adult Cat Food, Salmon & Salmon",1.36,13.2|9.0|1.1
"TOY0855","Ultra Toy Soldier",10.65,14.6|11.3|1.6
"PET0862","Adult Dog Food",0.81,15.9|12.4|2.2
"DLI0873","Smoked Beet Salad",1.01,17.3|7.4|7.3
"COL0891","Noah's Bobblehead (orange)",5.65,19.9|14.8|0.3
"PET0907","Wet Cat Food, Pumpkin & Pumpkin",0.84,11.7|3.6|0.8
"TOY0928","Toy Airplane",9.29,19.9|18.9|6.1
"PET0931","Gluten-free Cat Food, Duck & Duck",1.40,13.2|12.4|1.5
"DLI0932","Pickled Egg Salad",0.82,10.1|7.1|3.9
"PET0934","Gluten-free Adult Cat Food, Turkey & Turkey",1.50,9.2|6.6|1.2
"PET0937","Dry Adult Cat Food, Salmon & Salmon",0.94,18.1|17.3|1.3
"DLI0959","Salted Beet Sandwich",0.98,19.0|12.6|3.7
"PET0978","Dry Senior Cat Food, Salmon & Salmon",1.03,11.6|8.9|3.7
"TOY0984","Ultra Doll",10.74,11.2|5.8|4.0
"TOY0994","Handmade Ball",5.80,15.2|14.4|8.8
"PET1010","Wet Cat Food, Beef & Beef",0.91,13.1|10.8|8.1
"PET1015","Dry Adult Cat Food, Beef & Beef",0.98,19.0|14.3|3.5
"PET1016","Dry Cat Food, Shrimp & Shrimp",0.93,14.5|9.3|8.5
"PET1027","Gluten-free Cat Food, Chicken & Chicken",1.61,7.3|3.7|0.4
"COL1036","Noah's Jewelry (purple)",32.64,19.4|18.0|4.1
"PET1041","Wet Senior Cat Food, Pumpkin & Pumpkin",1.03,12.9|11.5|3.4
"PET1045","Adult Snake Food",1.02,17.7|16.7|9.5
"PET1057","Rat Food",0.45,15.4|10.0|4.3
"TOY1057","Vintage Fidget Toy",1.27,12.9|11.7|3.9
"PET1066","Vegan Adult Cat Food, Turkey & Turkey",1.29,17.7|14.9|0.5
"PET1073","Dry Adult Cat Food, Tuna & Tuna",0.99,19.2|13.0|0.3
"DLI1073","Dilled Cucumber Salad",0.90,15.3|6.2|5.8
"TOY1074","Marvel Hebrew Blocks",4.46,9.3|8.1|5.5
"TOY1080","Handmade Train",26.75,6.5|4.4|0.9
"PET1086","Vegan Adult Cat Food, Shrimp & Shrimp",1.53,17.8|12.6|7.6
"PET1094","Wet Adult Cat Food, Pumpkin & Pumpkin",1.14,18.3|17.7|15.6
"PET1105","Wet Adult Cat Food, Chicken & Chicken",1.11,17.5|11.7|1.8
"TOY1106","Tonka Fidget Toy",1.13,19.1|15.0|8.5
"PET1108","Dry Adult Cat Food, Salmon & Salmon",1.03,16.9|4.0|2.6
"PET1115","Dry Adult Cat Food, Chicken & Chicken",1.00,19.5|14.1|1.9
"DLI1116","Smoked Cabbage Sandwich",0.97,17.2|11.7|9.2
"TOY1130","Marvel Dreidel",4.00,19.9|15.0|11.7
"PET1131","Wet Adult Cat Food, Beef & Beef",0.99,17.3|14.7|13.5
"TOY1146","Mega Toy Soldier",9.13,19.0|7.6|3.0
"PET1148","Wet Senior Cat Food, Duck & Duck",1.14,19.9|2.3|1.9
"DLI1153","Smoked Whitefish Sandwich",1.01,17.1|15.2|3.5
"TOY1168","Electric Ball",3.52,17.6|12.0|7.4
"PET1173","Dry Adult Cat Food, Turkey & Turkey",0.99,6.0|4.7|4.0
"PET1175","Wet Cat Food, Chicken & Chicken",1.08,19.5|15.4|7.3
"PET1176","Vegan Cat Food, Shrimp & Shrimp",1.07,19.5|14.1|6.2
"PET1185","Wet Senior Cat Food, Pumpkin & Pumpkin",1.03,18.3|6.4|2.0
"PET1226","Dry Adult Cat Food, Pumpkin & Pumpkin",1.01,9.2|8.4|6.2
"TOY1229","Tonka Board Game",14.65,7.0|3.6|0.8
"PET1231","Dry Cat Food, Salmon & Salmon",0.96,16.4|12.3|6.1
"TOY1236","Transformers Ball",4.28,16.8|8.9|6.2
"PET1251","Dry Senior Cat Food, Duck & Duck",1.05,18.6|17.1|9.2
"PET1255","Wet Senior Cat Food, Duck & Duck",0.85,17.0|16.5|12.4
"PET1257","Wet Adult Cat Food, Duck & Duck",1.07,2.3|0.8|0.0
"COL1263","Noah's Action Figure (yellow)",16.50,10.2|7.5|3.6
"TOY1270","Super Slinky",2.92,8.9|2.7|2.6
"PET1272","Gluten-free Senior Cat Food, Tuna & Tuna",1.57,17.1|3.6|2.6
"PET1290","Vegan Adult Cat Food, Beef & Beef",1.34,17.5|8.2|1.2
"PET1298","Vegan Cat Food, Beef & Beef",1.34,11.0|5.3|4.5
"PET1304","Vegan Senior Cat Food, Pumpkin & Pumpkin",1.42,19.9|16.1|1.2
"PET1308","Gluten-free Adult Cat Food, Duck & Duck",1.51,16.9|11.2|3.7
"DLI1340","Smoked Herring Salad",1.16,17.8|5.5|2.6
"TOY1341","Disney Airplane",33.71,17.5|10.0|8.5
"TOY1359","Toy Slinky",2.52,18.5|17.9|3.3
"PET1361","Gluten-free Cat Food, Tuna & Tuna",1.29,17.5|9.2|2.9
"PET1375","Wet Senior Cat Food, Tuna & Tuna",1.05,15.9|11.6|2.5
"TOY1377","Lego Toy Soldier",12.61,14.5|8.8|1.9
"PET1381","Gluten-free Adult Cat Food, Turkey & Turkey",1.41,16.4|12.1|1.1
"TOY1382","Star Wars Stickers",1.88,18.2|14.7|13.2
"TOY1391","Transformers Fidget Toy",1.22,18.8|11.4|8.9
"PET1404","Dry Senior Cat Food, Beef & Beef",1.02,17.4|11.8|6.0
"PET1405","Dry Adult Cat Food, Pumpkin & Pumpkin",0.91,8.7|1.9|1.1
"PET1414","Dry Cat Food, Shrimp & Shrimp",1.18,13.6|6.8|4.5
"TOY1419","Mega Hebrew Blocks",2.88,8.9|7.9|5.7
"COL1459","Noah's Jewelry (orange)",30.39,15.6|8.8|2.1
"PET1461","Gluten-free Cat Food, Salmon & Salmon",1.50,17.4|6.5|6.3
"TOY1463","Mega Airplane",13.07,18.0|5.9|2.6
"COL1464","Noah's Lunchbox (amber)",9.47,17.9|9.3|9.2
"PET1479","Gluten-free Senior Cat Food, Tuna & Tuna",1.52,14.3|8.6|6.6
"TOY1479","Star Wars Doll",22.55,14.2|5.6|3.4
"PET1490","Gluten-free Adult Cat Food, Salmon & Salmon",1.45,8.7|2.6|2.4
"PET1496","Vegan Adult Cat Food, Pumpkin & Pumpkin",1.48,15.6|4.0|3.3
"PET1499","Gluten-free Adult Cat Food, Turkey & Turkey",1.18,18.6|2.5|2.2
"PET1513","Gluten-free Senior Cat Food, Chicken & Chicken",1.45,18.2|8.7|2.9
"PET1514","Dry Cat Food, Turkey & Turkey",1.01,9.6|6.2|5.2
"DLI1516","Dilled Beet Sandwich",1.01,17.7|10.6|3.7
"PET1527","Gluten-free Senior Cat Food, Chicken & Chicken",1.53,11.4|0.7|0.1
"PET1537","Wet Senior Cat Food, Chicken & Chicken",0.95,19.2|16.7|11.5
"TOY1551","Mechanical Toy Soldier",9.10,16.5|14.3|13.6
"COL1561","Noah's Bobblehead (green)",4.15,17.4|13.7|9.2
"BKY1573","Sesame Bagel",1.02,11.9|4.7|0.9
"PET1580","Vegan Senior Cat Food, Shrimp & Shrimp",1.89,12.7|7.5|7.1
"PET1597","Wet Adult Cat Food, Turkey & Turkey",1.04,14.9|12.4|6.9
"TOY1615","Toy Ball",1.93,17.3|10.0|2.4
"TOY1618","Automatic Fidget Toy",0.89,16.6|15.8|2.2
"PET1620","Adult Ferret Food",0.50,19.7|10.2|8.1
"PET1633","Gluten-free Senior Cat Food, Turkey & Turkey",1.50,10.5|6.2|0.9
"COL1659","Noah's Jewelry (yellow)",34.19,16.6|6.2|5.7
"PET1671","Dry Adult Cat Food, Pumpkin & Pumpkin",1.00,19.8|16.2|13.9
"PET1678","Dry Senior Cat Food, Pumpkin & Pumpkin",1.03,19.5|12.7|8.5
"BKY1679","Sesame Twist",1.02,6.9|6.2|1.6
"TOY1683","Electric Fidget Toy",1.20,17.8|15.8|14.4
"PET1689","Wet Senior Cat Food, Turkey & Turkey",0.87,15.1|12.7|9.7
"PET1698","Vegan Cat Food, Salmon & Salmon",1.61,14.8|13.0|0.6
"TOY1700","Mini Dreidel",3.52,13.9|12.3|8.7
"PET1705","Fish",0.59,11.8|9.6|4.4
"PET1718","Vegan Adult Cat Food, Salmon & Salmon",1.76,15.1|5.3|0.1
"TOY1725","Mega Slinky",2.82,13.6|6.8|3.0
"DLI1741","Pickled Herring Salad",1.02,16.4|10.7|4.2
"TOY1749","Mechanical Board Game",13.45,17.1|15.8|1.1
"TOY1761","Ultra Stickers",1.05,8.3|4.6|1.7
"TOY1773","Power Yoyo",4.38,14.5|9.5|1.4
"PET1794","Gluten-free Adult Cat Food, Shrimp & Shrimp",1.44,13.9|9.6|3.0
"COL1794","Noah's Lunchbox (puce)",9.29,7.1|5.0|3.5
"TOY1808","Toy Silly Bandz",2.40,19.6|11.3|3.5
"PET1816","Gluten-free Senior Cat Food, Duck & Duck",1.61,8.7|6.8|4.8
"PET1818","Vegan Adult Cat Food, Shrimp & Shrimp",1.50,19.3|11.4|3.3
"PET1828","Dry Cat Food, Turkey & Turkey",0.99,16.2|16.0|2.0
"TOY1830","Vintage Silly Bandz",4.35,12.3|11.4|4.1
"PET1836","Gluten-free Cat Food, Duck & Duck",1.45,18.5|14.3|7.8
"TOY1836","Manual Blocks",3.54,14.6|11.5|3.8
"PET1861","Gluten-free Adult Cat Food, Pumpkin & Pumpkin",1.29,10.5|7.9|5.8
"PET1864","Wet Adult Cat Food, Pumpkin & Pumpkin",0.99,17.1|16.1|9.0
"TOY1864","Mega Yoyo",4.65,17.5|13.2|2.2
"TOY1865","Noah's Hebrew Blocks",2.99,14.7|9.9|8.3
"PET1866","Vegan Senior Cat Food, Tuna & Tuna",1.58,19.0|18.7|14.2
"PET1874","Vegan Senior Cat Food, Duck & Duck",1.47,12.8|4.8|4.5
"PET1880","Vegan Adult Cat Food, Shrimp & Shrimp",1.58,13.3|9.3|6.2
"TOY1882","Mechanical Ball",2.94,11.9|7.0|1.7
"TOY1887","Noah's Stickers",1.08,18.4|16.1|14.3
"PET1888","Wet Cat Food, Pumpkin & Pumpkin",1.26,6.9|6.6|6.5
"PET1901","Wet Adult Cat Food, Pumpkin & Pumpkin",1.05,19.9|9.1|6.3
"PET1914","Gluten-free Senior Cat Food, Salmon & Salmon",1.52,18.3|16.6|9.0
"PET1922","Vegan Senior Cat Food, Duck & Duck",1.26,19.2|12.5|9.7
"DLI1929","Dilled Cabbage Sandwich",0.89,17.7|7.9|7.4
"PET1936","Vegan Cat Food, Turkey & Turkey",1.59,14.8|1.3|0.7
"PET1938","Dry Senior Cat Food, Shrimp & Shrimp",1.05,16.2|3.8|1.1
"PET1947","Dry Cat Food, Turkey & Turkey",1.10,18.3|3.9|0.0
"TOY1947","Lego Stickers",1.18,17.5|17.2|2.9
"PET1958","Vegan Adult Cat Food, Chicken & Chicken",1.27,19.3|7.5|6.6
"PET1976","Dry Adult Cat Food, Beef & Beef",0.95,13.7|8.9|4.0
"PET1978","Fish Food",0.70,18.5|18.4|16.0
"PET1984","Gluten-free Cat Food, Shrimp & Shrimp",1.20,17.0|8.2|5.1
"PET1987","Vegan Cat Food, Tuna & Tuna",1.54,19.9|9.9|4.2
"PET1992","Gluten-free Cat Food, Turkey & Turkey",1.35,18.4|7.4|3.5
"PET1993","Vegan Senior Cat Food, Shrimp & Shrimp",1.68,13.7|10.4|10.3
"PET2017","Dry Cat Food, Tuna & Tuna",0.83,13.6|5.6|3.4
"DLI2018","Lentil Sandwich",1.10,17.7|5.9|2.2
"DLI2025","Pickled Cabbage Salad",0.94,10.0|4.1|3.1
"PET2026","Dry Adult Cat Food, Chicken & Chicken",1.20,17.3|13.5|10.7
"PET2039","Gluten-free Cat Food, Pumpkin & Pumpkin",1.77,19.3|11.5|5.8
"PET2040","Senior Cat Food",1.48,17.9|11.9|9.0
"PET2041","Wet Cat Food, Pumpkin & Pumpkin",0.96,13.6|10.2|9.5
"PET2043","Vegan Adult Cat Food, Chicken & Chicken",1.50,18.9|15.6|15.1
"PET2046","Vegan Cat Food, Duck & Duck",1.26,12.3|4.6|0.4
"DLI2047","Pickled Whitefish Sandwich",1.00,17.3|17.0|8.3
"PET2066","Dry Adult Cat Food, Turkey & Turkey",1.15,4.0|2.2|0.9
"TOY2067","Handmade Dreidel",6.73,15.4|4.8|1.5
"COL2098","Noah's Poster (red)",3.61,19.7|16.1|6.8
"BKY2114","Poppyseed Mandelbrot",1.05,13.4|0.7|0.4
"PET2123","Wet Adult Cat Food, Pumpkin & Pumpkin",1.17,18.4|16.3|12.0
"COL2125","Noah's Gift Box (green)",3.22,18.6|17.1|2.6
"TOY2131","Mini Toy Soldier",11.33,14.8|10.5|6.0
"COL2136","Noah's Poster (green)",3.72,17.7|2.9|0.3
"COL2141","Noah's Bobblehead (puce)",4.85,19.0|10.4|10.2
"PET2142","Dry Adult Cat Food, Salmon & Salmon",0.95,16.1|10.2|3.6
"DLI2169","Kasha Seitan Meatball",0.90,17.2|13.9|3.2
"PET2175","Vegan Cat Food, Duck & Duck",1.55,12.5|6.0|0.2
"DLI2175","Salted Herring Sandwich",1.09,12.2|2.8|2.5
"PET2178","Gluten-free Adult Cat Food, Beef & Beef",1.37,11.8|9.9|8.4
"PET2187","Gluten-free Adult Cat Food, Beef & Beef",1.70,18.2|15.1|14.0
"PET2192","Dry Senior Cat Food, Salmon & Salmon",0.96,18.6|6.6|3.1
"PET2193","Dry Cat Food, Turkey & Turkey",0.81,15.6|11.9|5.0
"TOY2194","Mechanical Silly Bandz",3.23,9.6|6.8|1.4
"PET2210","Bird Food",0.81,11.5|8.4|5.1
"PET2223","Gluten-free Adult Cat Food, Salmon & Salmon",1.54,17.3|10.1|4.0
"TOY2225","Mini Airplane",12.29,18.1|13.4|13.2
"PET2228","Gluten-free Cat Food, Pumpkin & Pumpkin",1.58,14.7|11.0|4.1
"PET2230","Dry Senior Cat Food, Chicken & Chicken",1.11,13.8|13.6|2.0
"DLI2230","Dilled Salmon Sandwich",1.10,19.9|17.8|1.9
"TOY2234","Mini Board Game",14.89,14.5|12.1|0.0
"TOY2236","Ultra Train",12.67,16.0|11.6|3.0
"PET2237","Dry Senior Cat Food, Shrimp & Shrimp",0.94,16.6|4.0|3.2
"TOY2245","Power Blocks",3.61,18.4|5.9|5.7
"PET2250","Dry Cat Food, Duck & Duck",0.97,14.5|3.5|0.6
"PET2251","Wet Cat Food, Shrimp & Shrimp",1.12,18.1|14.8|5.8
"PET2253","Vegan Senior Cat Food, Chicken & Chicken",1.78,8.9|2.8|1.2
"PET2255","Vegan Senior Cat Food, Salmon & Salmon",1.41,14.8|11.6|0.1
"TOY2289","Noah's Train",12.24,18.6|14.8|13.1
"PET2290","Gluten-free Cat Food, Tuna & Tuna",1.39,18.6|14.2|1.1
"COL2307","Noah's Poster (blue)",3.74,10.0|9.7|8.7
"PET2330","Wet Adult Cat Food, Chicken & Chicken",0.98,19.6|1.2|0.5
"PET2344","Dry Adult Cat Food, Turkey & Turkey",1.04,15.1|14.8|7.9
"TOY2348","Mega Ball",2.94,8.6|8.5|3.0
"PET2368","Dry Adult Cat Food, Shrimp & Shrimp",0.97,13.5|10.1|5.9
"TOY2369","Electric Crayons",3.21,19.3|16.3|14.2
"PET2380","Gluten-free Adult Cat Food, Chicken & Chicken",1.42,18.1|12.8|12.0
"PET2388","Dry Adult Cat Food, Pumpkin & Pumpkin",0.94,15.9|12.0|1.8
